file,sheet,column,value,count
CaseData_v2.csv,,OriginalDispositionEvent,8072.0,810
CaseData_v2.csv,,OriginalDispositionEvent,8013.0,772
CaseData_v2.csv,,OriginalDispositionEvent,9035.0,736
CaseData_v2.csv,,OriginalDispositionEvent,9079.0,658
CaseData_v2.csv,,OriginalDispositionEvent,9031.0,435
CaseData_v2.csv,,OriginalDispositionEvent,8014.0,324
CaseData_v2.csv,,OriginalDispositionEvent,9072.0,310
CaseData_v2.csv,,OriginalDispositionMethodID,2.0,169601
CaseData_v2.csv,,OriginalDispositionMethodID,5.0,37756
CaseData_v2.csv,,OriginalDispositionMethodID,1.0,32143
CaseData_v2.csv,,OriginalDispositionMethodID,,31061
CaseData_v2.csv,,OriginalDispositionMethodID,3.0,1138
CaseData_v2.csv,,OriginalDispositionPleaID,,154394
CaseData_v2.csv,,OriginalDispositionPleaID,2.0,82649
CaseData_v2.csv,,OriginalDispositionPleaID,1.0,33296
CaseData_v2.csv,,OriginalDispositionPleaID,3.0,1341
CaseData_v2.csv,,OriginalDispositionPleaID,5.0,19
CaseData_v2.csv,,OriginalDispositionVerdictID,,240660
CaseData_v2.csv,,OriginalDispositionVerdictID,1.0,30488
CaseData_v2.csv,,OriginalDispositionVerdictID,4.0,251
CaseData_v2.csv,,OriginalDispositionVerdictID,2.0,152
CaseData_v2.csv,,OriginalDispositionVerdictID,5.0,99
CaseData_v2.csv,,OriginalDispositionVerdictID,3.0,42
CaseData_v2.csv,,OriginalDispositionVerdictID,6.0,7
CaseData_v2.csv,,OriginalSentenceID,20.0,169072
CaseData_v2.csv,,OriginalSentenceID,,69654
CaseData_v2.csv,,OriginalSentenceID,19.0,14389
CaseData_v2.csv,,OriginalSentenceID,16.0,8096
CaseData_v2.csv,,OriginalSentenceID,14.0,6036
CaseData_v2.csv,,OriginalSentenceID,4.0,2558
CaseData_v2.csv,,OriginalSentenceID,7.0,1689
CaseData_v2.csv,,OriginalSentenceID,9.0,60
CaseData_v2.csv,,OriginalSentenceID,5.0,38
CaseData_v2.csv,,OriginalSentenceID,12.0,34
CaseData_v2.csv,,OriginalSentenceID,15.0,33
CaseData_v2.csv,,OriginalSentenceID,3.0,27
CaseData_v2.csv,,OriginalSentenceID,11.0,8
CaseData_v2.csv,,OriginalSentenceID,18.0,3
CaseData_v2.csv,,OriginalSentenceID,1.0,1
CaseData_v2.csv,,OriginalSentenceID,13.0,1
CaseData_v2.csv,,LatestDispositionID,,258999
CaseData_v2.csv,,LatestDispositionID,102.0,1735
CaseData_v2.csv,,LatestDispositionID,113.0,1670
CaseData_v2.csv,,LatestDispositionID,12.0,1343
CaseData_v2.csv,,LatestDispositionID,137.0,1174
CaseData_v2.csv,,LatestDispositionID,114.0,916
CaseData_v2.csv,,LatestDispositionID,13.0,879
CaseData_v2.csv,,LatestDispositionID,6.0,847
CaseData_v2.csv,,LatestDispositionID,76.0,796
CaseData_v2.csv,,LatestDispositionID,75.0,558
CaseData_v2.csv,,LatestDispositionID,4.0,553
CaseData_v2.csv,,LatestDispositionID,5.0,462
CaseData_v2.csv,,LatestDispositionID,74.0,417
CaseData_v2.csv,,LatestDispositionID,147.0,161
CaseData_v2.csv,,LatestDispositionID,155.0,156
CaseData_v2.csv,,LatestDispositionID,171.0,123
CaseData_v2.csv,,LatestDispositionID,24.0,112
CaseData_v2.csv,,LatestDispositionID,37.0,95
CaseData_v2.csv,,LatestDispositionID,72.0,95
CaseData_v2.csv,,LatestDispositionID,150.0,89
CaseData_v2.csv,,LatestDispositionID,26.0,50
CaseData_v2.csv,,LatestDispositionID,84.0,48
CaseData_v2.csv,,LatestDispositionID,27.0,45
CaseData_v2.csv,,LatestDispositionID,159.0,42
CaseData_v2.csv,,LatestDispositionID,152.0,34
CaseData_v2.csv,,LatestDispositionID,149.0,32
CaseData_v2.csv,,LatestDispositionID,87.0,25
CaseData_v2.csv,,LatestDispositionID,101.0,22
CaseData_v2.csv,,LatestDispositionID,143.0,21
CaseData_v2.csv,,LatestDispositionID,31.0,20
CaseData_v2.csv,,LatestDispositionMethodID,,253629
CaseData_v2.csv,,LatestDispositionMethodID,4.0,18070
CaseData_v2.csv,,LatestSentenceID,,260355
CaseData_v2.csv,,LatestSentenceID,20.0,6108
CaseData_v2.csv,,LatestSentenceID,16.0,1679
CaseData_v2.csv,,LatestSentenceID,19.0,1041
CaseData_v2.csv,,LatestSentenceID,14.0,964
CaseData_v2.csv,,LatestSentenceID,4.0,813
CaseData_v2.csv,,LatestSentenceID,7.0,640
CaseData_v2.csv,,LatestSentenceID,9.0,57
CaseData_v2.csv,,LatestSentenceID,3.0,21
CaseData_v2.csv,,LatestSentenceID,18.0,11
CaseData_v2.csv,,LatestSentenceID,2.0,3
CaseData_v2.csv,,LatestSentenceID,15.0,2
CaseData_v2.csv,,LatestSentenceID,5.0,2
CaseData_v2.csv,,LatestSentenceID,11.0,2
CaseData_v2.csv,,LatestSentenceID,8.0,1
CaseData_v2.csv,,JailCaseTypeID,5.0,115349
CaseData_v2.csv,,JailCaseTypeID,3.0,79267
CaseData_v2.csv,,JailCaseTypeID,4.0,32741
CaseData_v2.csv,,JailCaseTypeID,2.0,27148
CaseData_v2.csv,,JailCaseTypeID,6.0,12507
CaseData_v2.csv,,JailCaseTypeID,1.0,3885
CaseData_v2.csv,,JailCaseTypeID,8.0,780
CaseData_v2.csv,,JailCaseTypeID,7.0,22
