code_column,OriginalDispositionID,n_cases,has_sentence_rate,has_plea_rate,has_verdict_rate,has_disposition_date_rate,unique_cases,unique_bookings,LatestDispositionID,DispositionID,DispositionTypeID,DispositionMethodID
DispositionID,,6603,1.0,0.998485536877177,0.00015144631228229593,1.0,6587,6138,,141.0,,
DispositionID,,6029,0.6802123071819539,0.3383645712390114,0.014761983745231381,1.0,4788,4289,,20.0,,
DispositionID,,4877,0.9425876563461144,0.9409473036702891,0.9405372155013327,1.0,4547,3992,,83.0,,
DispositionID,,4695,0.0004259850905218317,0.00021299254526091586,0.00021299254526091586,1.0,3948,3112,,26.0,,
DispositionID,,3682,0.8191200434546442,0.39299293862031504,0.39082020640956,1.0,3333,3075,,72.0,,
DispositionID,,3291,0.001215436037678517,0.0009115770282588879,0.001215436037678517,1.0,3121,2574,,1.0,,
DispositionID,,2270,0.0026431718061674008,0.001762114537444934,0.001762114537444934,1.0,2039,1808,,32.0,,
DispositionID,,1790,1.0,0.9994413407821229,0.024022346368715083,1.0,1785,1763,,98.0,,
DispositionID,,1770,0.0,0.0,0.0,1.0,1767,1686,,65.0,,
DispositionID,,1486,0.9973082099596231,0.990578734858681,0.0026917900403768506,1.0,1485,1467,,189.0,,
DispositionID,,1259,0.0007942811755361397,0.0,0.0,1.0,1195,1072,,31.0,,
DispositionID,,1098,1.0,0.0009107468123861566,0.0,1.0,1062,982,,150.0,,
DispositionID,,921,0.0,0.0,0.0,1.0,720,676,,85.0,,
DispositionID,,819,0.0,0.0,0.0,1.0,803,774,,27.0,,
DispositionID,,783,0.0,0.0,0.0,1.0,561,459,,24.0,,
DispositionID,,685,1.0,0.0,0.0,1.0,674,628,,159.0,,
DispositionID,,659,1.0,0.0,0.0,1.0,654,623,,149.0,,
DispositionID,,434,1.0,0.0,0.0,1.0,432,386,,156.0,,
DispositionID,,324,0.0030864197530864196,0.0030864197530864196,0.0030864197530864196,1.0,321,281,,25.0,,
DispositionID,,310,1.0,0.0,0.0,1.0,309,286,,160.0,,
DispositionID,,284,1.0,0.0,0.0,1.0,283,224,,154.0,,
DispositionID,,209,0.9952153110047847,0.0,0.0,1.0,209,179,,151.0,,
DispositionID,,153,1.0,0.0,0.0,1.0,153,133,,148.0,,
DispositionID,,137,0.5328467153284672,0.021897810218978103,0.021897810218978103,1.0,70,54,,79.0,,
DispositionID,,128,1.0,1.0,0.0,1.0,128,119,,140.0,,
DispositionID,,126,0.0,0.0,0.0,1.0,119,103,,29.0,,
DispositionID,,99,1.0,0.9595959595959596,0.9393939393939394,1.0,98,85,,181.0,,
DispositionID,,78,1.0,0.9871794871794872,0.07692307692307693,1.0,78,44,,168.0,,
DispositionID,,62,0.7096774193548387,0.7419354838709677,0.7419354838709677,1.0,24,22,,64.0,,
DispositionID,,52,0.3076923076923077,0.3076923076923077,0.3076923076923077,1.0,16,1,,51.0,,
DispositionID,,37,0.972972972972973,0.0,0.0,1.0,37,36,,142.0,,
DispositionID,,37,0.0,0.4594594594594595,0.2972972972972973,1.0,32,27,,67.0,,
DispositionID,,36,0.6388888888888888,0.027777777777777776,0.027777777777777776,1.0,23,21,,78.0,,
DispositionID,,36,0.0,0.9166666666666666,0.9166666666666666,1.0,27,23,,69.0,,
DispositionID,,26,0.0,0.0,0.0,1.0,25,21,,33.0,,
DispositionID,,25,1.0,0.0,0.0,1.0,25,19,,155.0,,
DispositionID,,21,1.0,0.0,0.0,1.0,21,19,,81.0,,
DispositionID,,20,0.0,0.9,0.9,1.0,19,17,,68.0,,
DispositionID,,16,0.125,0.0,0.0,1.0,14,7,,11.0,,
DispositionID,,15,1.0,0.0,0.0,1.0,15,14,,161.0,,
DispositionID,,13,0.9230769230769231,0.9230769230769231,0.8461538461538461,1.0,13,12,,182.0,,
DispositionID,,10,1.0,0.0,0.0,1.0,10,0,,162.0,,
DispositionID,,9,0.5555555555555556,0.0,0.0,1.0,9,9,,188.0,,
DispositionID,,8,1.0,0.0,0.0,1.0,8,7,,153.0,,
DispositionID,,7,1.0,1.0,0.0,1.0,7,7,,167.0,,
DispositionID,,7,1.0,0.5714285714285714,0.5714285714285714,1.0,6,5,,183.0,,
DispositionID,,6,1.0,0.5,0.5,1.0,2,2,,18.0,,
DispositionID,,5,0.8,0.2,0.2,1.0,5,5,,169.0,,
DispositionID,,5,0.0,1.0,1.0,1.0,1,1,,3.0,,
DispositionID,,5,0.2,0.4,0.4,1.0,2,0,,14.0,,
DispositionID,,4,1.0,0.0,0.0,1.0,4,3,,158.0,,
DispositionID,,3,1.0,0.0,0.0,1.0,3,3,,82.0,,
DispositionID,,3,0.0,1.0,1.0,1.0,2,2,,2.0,,
DispositionID,,2,1.0,0.0,0.0,1.0,2,2,,197.0,,
DispositionID,,2,1.0,0.0,0.0,1.0,2,0,,170.0,,
DispositionID,,2,1.0,0.0,0.0,1.0,2,1,,96.0,,
DispositionID,,2,0.0,0.0,0.0,1.0,1,1,,62.0,,
DispositionID,,2,0.5,0.0,0.0,1.0,1,1,,6.0,,
DispositionID,,2,0.0,0.0,0.0,1.0,2,1,,30.0,,
DispositionID,,1,1.0,1.0,1.0,1.0,1,1,,5.0,,
DispositionID,,1,1.0,0.0,0.0,1.0,1,1,,12.0,,
DispositionID,,1,0.0,0.0,0.0,1.0,1,0,,28.0,,
DispositionID,,1,1.0,1.0,1.0,1.0,1,1,,16.0,,
DispositionID,,1,1.0,1.0,0.0,1.0,1,0,,44.0,,
DispositionID,,1,0.0,0.0,0.0,1.0,1,0,,36.0,,
DispositionID,,1,0.0,0.0,0.0,1.0,1,1,,126.0,,
DispositionID,,1,0.0,0.0,0.0,1.0,1,1,,76.0,,
DispositionID,,1,0.0,0.0,0.0,1.0,1,1,,146.0,,
DispositionID,,1,1.0,1.0,0.0,1.0,1,1,,179.0,,
DispositionTypeID,,115686,0.950849713880677,0.9296371211728299,0.26407689780958804,1.0,110056,95550,,,1.0,
DispositionTypeID,,65382,0.8293414089504757,0.00044354715365085194,0.00012235783548989018,1.0,63271,54383,,,4.0,
DispositionTypeID,,32090,0.8659707073854783,0.0004985976939856653,0.00012464942349641633,1.0,31621,27014,,,7.0,
DispositionTypeID,,30326,0.009233001384950208,0.0037921255688188353,0.002572050385807558,0.010420101563015234,28560,22087,,,,
DispositionTypeID,,17030,0.7100998238402818,0.5465648854961832,0.006987668819729889,1.0,15357,13922,,,2.0,
DispositionTypeID,,10867,0.25747676451642587,0.002484586362381522,0.002300542928131039,1.0,10627,9420,,,8.0,
DispositionTypeID,,318,0.4748427672955975,0.8301886792452831,0.8018867924528302,1.0,219,190,,,3.0,
DispositionMethodID,,168608,0.9994780793319415,0.49816141582843043,0.002574017840197381,1.0,168084,132486,,,,2.0
DispositionMethodID,,36596,0.8747950595693519,0.8750136626953765,0.8030385834517434,1.0,31618,27992,,,,1.0
DispositionMethodID,,34724,0.15888146526897823,0.0013535306992281996,0.000806358714433821,1.0,30794,25666,,,,5.0
DispositionMethodID,,30326,0.009233001384950208,0.0037921255688188353,0.002572050385807558,0.010420101563015234,28560,22087,,,,
DispositionMethodID,,1445,0.6948096885813149,0.7799307958477508,0.7688581314878893,1.0,656,568,,,,3.0
