complete_key,complete_unique,raw_unique,shared_unique,complete_overlap_pct,raw_overlap_pct,raw_file,raw_sheet,raw_key
person_mni,66177,41234,1394,2.11,3.38,Events.xlsx,Events,CaseID
PK_BKG_NO,85416,41234,6311,7.39,15.31,Events.xlsx,Events,CaseID
pretrial_id,85459,1913,0,0.0,0.0,Events.xlsx,Events,PartyID
defendant_booking_id,85420,1913,115,0.13,6.01,Events.xlsx,Events,PartyID
person_mni,66177,1913,45,0.07,2.35,Events.xlsx,Events,PartyID
PK_BKG_NO,85416,1913,115,0.13,6.01,Events.xlsx,Events,PartyID
pretrial_id,85459,11,0,0.0,0.0,Events.xlsx,Events,EventCodeID
defendant_booking_id,85420,11,0,0.0,0.0,Events.xlsx,Events,EventCodeID
person_mni,66177,11,0,0.0,0.0,Events.xlsx,Events,EventCodeID
PK_BKG_NO,85416,11,0,0.0,0.0,Events.xlsx,Events,EventCodeID
pretrial_id,85459,19,0,0.0,0.0,Events.xlsx,Events,EventResultID
defendant_booking_id,85420,19,0,0.0,0.0,Events.xlsx,Events,EventResultID
person_mni,66177,19,1,0.0,5.26,Events.xlsx,Events,EventResultID
PK_BKG_NO,85416,19,0,0.0,0.0,Events.xlsx,Events,EventResultID
pretrial_id,85459,2,0,0.0,0.0,Events.xlsx,Events,DivisionID
defendant_booking_id,85420,2,0,0.0,0.0,Events.xlsx,Events,DivisionID
person_mni,66177,2,0,0.0,0.0,Events.xlsx,Events,DivisionID
PK_BKG_NO,85416,2,0,0.0,0.0,Events.xlsx,Events,DivisionID
pretrial_id,85459,11,0,0.0,0.0,Events.xlsx,Events,EventCodeID.1
defendant_booking_id,85420,11,0,0.0,0.0,Events.xlsx,Events,EventCodeID.1
person_mni,66177,11,0,0.0,0.0,Events.xlsx,Events,EventCodeID.1
PK_BKG_NO,85416,11,0,0.0,0.0,Events.xlsx,Events,EventCodeID.1
pretrial_id,85459,2,0,0.0,0.0,Events.xlsx,Events,DivisionID.1
defendant_booking_id,85420,2,0,0.0,0.0,Events.xlsx,Events,DivisionID.1
person_mni,66177,2,0,0.0,0.0,Events.xlsx,Events,DivisionID.1
PK_BKG_NO,85416,2,0,0.0,0.0,Events.xlsx,Events,DivisionID.1
pretrial_id,85459,4,0,0.0,0.0,Events.xlsx,Events,EventCategoryID
defendant_booking_id,85420,4,0,0.0,0.0,Events.xlsx,Events,EventCategoryID
person_mni,66177,4,0,0.0,0.0,Events.xlsx,Events,EventCategoryID
PK_BKG_NO,85416,4,0,0.0,0.0,Events.xlsx,Events,EventCategoryID
pretrial_id,85459,4,0,0.0,0.0,Events.xlsx,Events,AssociatedCaseStatusID
defendant_booking_id,85420,4,0,0.0,0.0,Events.xlsx,Events,AssociatedCaseStatusID
person_mni,66177,4,0,0.0,0.0,Events.xlsx,Events,AssociatedCaseStatusID
PK_BKG_NO,85416,4,0,0.0,0.0,Events.xlsx,Events,AssociatedCaseStatusID
pretrial_id,85459,15,0,0.0,0.0,Events.xlsx,Events,CourtJudgeIdentifier
defendant_booking_id,85420,15,0,0.0,0.0,Events.xlsx,Events,CourtJudgeIdentifier
person_mni,66177,15,0,0.0,0.0,Events.xlsx,Events,CourtJudgeIdentifier
PK_BKG_NO,85416,15,0,0.0,0.0,Events.xlsx,Events,CourtJudgeIdentifier
pretrial_id,85459,63121,0,0.0,0.0,SentencingDataPre2013.xlsx,SentencingDataPre2013,CriminalSentencingID
defendant_booking_id,85420,63121,84,0.1,0.13,SentencingDataPre2013.xlsx,SentencingDataPre2013,CriminalSentencingID
person_mni,66177,63121,1000,1.51,1.58,SentencingDataPre2013.xlsx,SentencingDataPre2013,CriminalSentencingID
PK_BKG_NO,85416,63121,84,0.1,0.13,SentencingDataPre2013.xlsx,SentencingDataPre2013,CriminalSentencingID
pretrial_id,85459,55067,0,0.0,0.0,SentencingDataPre2013.xlsx,SentencingDataPre2013,CaseID
defendant_booking_id,85420,55067,7496,8.78,13.61,SentencingDataPre2013.xlsx,SentencingDataPre2013,CaseID
person_mni,66177,55067,987,1.49,1.79,SentencingDataPre2013.xlsx,SentencingDataPre2013,CaseID
PK_BKG_NO,85416,55067,7496,8.78,13.61,SentencingDataPre2013.xlsx,SentencingDataPre2013,CaseID
pretrial_id,85459,55072,0,0.0,0.0,SentencingDataPre2013.xlsx,SentencingDataPre2013,PartyID
defendant_booking_id,85420,55072,333,0.39,0.6,SentencingDataPre2013.xlsx,SentencingDataPre2013,PartyID
person_mni,66177,55072,343,0.52,0.62,SentencingDataPre2013.xlsx,SentencingDataPre2013,PartyID
PK_BKG_NO,85416,55072,333,0.39,0.6,SentencingDataPre2013.xlsx,SentencingDataPre2013,PartyID
pretrial_id,85459,3,0,0.0,0.0,SentencingDataPre2013.xlsx,SentencingDataPre2013,SentenceTypeID
defendant_booking_id,85420,3,0,0.0,0.0,SentencingDataPre2013.xlsx,SentencingDataPre2013,SentenceTypeID
person_mni,66177,3,0,0.0,0.0,SentencingDataPre2013.xlsx,SentencingDataPre2013,SentenceTypeID
PK_BKG_NO,85416,3,0,0.0,0.0,SentencingDataPre2013.xlsx,SentencingDataPre2013,SentenceTypeID
pretrial_id,85459,18,0,0.0,0.0,SentencingDataPre2013.xlsx,SentencingDataPre2013,ReceivableTypeID
