dataset,column,count,mean,std,min,25%,50%,75%,max
case_data,casephaseID,271699.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
case_data,UnabletoCalcAgeInactivity,271699.0,0.04475909002241451,0.2067749289629324,0.0,0.0,0.0,0.0,1.0
case_data,DispositionMethodID,241373.0,2.2859516184494537,1.170718962891711,1.0,2.0,2.0,2.0,5.0
case_data,PartyAttorneyID,271699.0,812058.9801876341,339645.1003914402,83.0,599601.5,852652.0,1099165.5,1292244.0
case_data,PartyIDRepresenting,271699.0,3169021.5499946633,1017755.0257266198,807.0,3352463.5,3561393.0,3791983.0,4129035.0
case_data,attorneyID,271699.0,67633.89243243443,42774.00824661581,47.0,27697.0,72277.0,103065.0,142238.0
case_data,AttorneyCounselTypeID,258104.0,19.621908223041874,8.28697136273743,1.0,11.0,17.0,30.0,36.0
case_data,AttorneyCaseStatusID,271658.0,7.6682004579287195,1.6547659959833407,1.0,8.0,8.0,8.0,12.0
case_data,AttorneyStartDate,0.0,,,,,,,
case_data,AttorneyEndDate,0.0,,,,,,,
pretrial_charge_interview,PK_BKG_NO,397886.0,1293434.3602313225,183038.1782811627,1000003.0,1131031.5,1307379.0,1439132.0,1617766.0
pretrial_charge_interview,PK_ATY_REC,9458.0,363.5771833368577,211.7914599750508,0.0,161.0,434.0,526.0,684.0
pretrial_charge_interview,PK_ATY_BND,70830.0,357.5133418043202,225.96212682297363,0.0,134.0,418.0,550.0,693.0
pretrial_charge_interview,PK_BND_AMT,397886.0,6691.528976968277,25016.446229356596,0.0,0.0,2500.0,5000.0,5000000.0
pretrial_charge_interview,PK_SEQ_No,397886.0,1.719266322514489,1.2127931940680938,1.0,1.0,1.0,2.0,36.0
person_data,MNI,123569.0,1866030.515946556,1944747.222258613,23.0,925606.0,1724096.0,1907414.0,8952046.0
person_data,GenderID,123568.0,1.2641865207820795,0.44104768517617465,1.0,1.0,1.0,2.0,3.0
person_data,RaceID,123569.0,5.936877372156447,2.064627444452802,1.0,7.0,7.0,7.0,7.0
person_data,EthnicityID,41612.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
person_data,CitizenshipID,122836.0,1.2821404148620925,0.9671565872315503,1.0,1.0,1.0,1.0,6.0
pretrial_defendants,PA_BKG_NO,238567.0,1297308.2594658942,185177.39373428322,1000003.0,1132653.0,1309170.0,1441688.5,1617766.0
pretrial_defendants,PB_MNI,238567.0,1799641.649058755,1966529.374354226,0.0,781150.0,1535367.0,1861507.5,8952046.0
pretrial_defendants,PB_ZIP,200936.0,209047.8402924314,10027336.353950072,0.0,78669.0,78727.0,78745.0,787671000.0
pretrial_booking_bridge,BH_BKG_NO,429635.0,1292546.6885472552,182738.13932815287,1000003.0,1130537.5,1306939.0,1438300.0,1617766.0
pretrial_booking_bridge,BH_BAIL_AMT,429635.0,4289.27890367405,18988.678935390442,0.0,0.0,1000.0,4000.0,5162011.0
pretrial_booking_bridge,BH_JCHG_NO,429635.0,1.8704132577653123,1.4293908720973614,1.0,1.0,1.0,2.0,37.0
pretrial_booking_bridge,BH_CRT_TIME,429635.0,668.3106497375679,727.353064619233,0.0,0.0,403.0,1232.0,2359.0
events,CaseID,52851.0,1441379.3884505497,473031.6864670783,336.0,1372690.0,1452895.0,1543881.0,2136014.0
events,PartyID,1982.0,1755576.5287588295,1124559.2601838063,15308.0,1108271.0,1238535.5,1366858.25,4120691.0
events,EventDateSeq,52851.0,2.0702730317307148,0.9503572595197527,1.0,2.0,2.0,2.0,37.0
